shopNo,distCode,totalTransactions,meanTransactions,medianTransactions,maxTransactions,stdTransactions,totalOtherShopTrans,meanUtilization,meanPortability,totalRice,totalWheat,meanRiceWheatRatio,meanTransactionToCardRatio,totalRcs,volatilityCoeff,portabilityLoad,seasonalPeakTransactions,seasonalMeanTransactions,seasonalStdTransactions,seasonalPeakToMean,latitude,longitude,distName,shopStatus,pca1,pca2,pca3,kmeans_cluster,dbscan_cluster,clusterPersona
3384172,930,306288,1000.9411764705883,1021.0,1139,100.07212056978055,305928,1.3060562772754767,0.9988356151006066,6642360.0,731556.0,11.314329472139505,1.3060562772754767,766.3888888888889,0.0999780236063863,0.9988246356370475,20502,18016.941176470587,1853.6992902905072,1.1379290079924778,17.52576,78.421991,Medchal,Active,7.194272023161034,0.5725844199112784,1.0628880065086883,3,0,High-Volume Urban Hubs
2909023,926,113742,371.70588235294116,384.0,425,40.59344731954255,113598,1.3395265863117976,0.998785867351235,2500956.0,0.0,0.0,1.3395265863117976,277.5,0.10920851470679274,0.9987339768950784,7650,6690.705882352941,751.9381427938307,1.1433771166323785,18.322776,78.332306,Kamareddy,Active,1.220443967537074,1.4418875846713701,2.5858857059274776,0,0,Active Urban Shops
3384142,930,241092,787.8823529411765,803.0,893,63.42910757341829,240750,1.0050232843243725,0.9986305399874008,4729860.0,582480.0,8.555566743247415,1.0050232843243725,783.9444444444445,0.0805058107173444,0.9985814543825594,16074,14181.882352941177,1174.937545273841,1.1334179483350755,17.516712,78.462629,Medchal,Active,5.1470643046963325,0.9320860069386679,0.6152222139743186,3,0,High-Volume Urban Hubs
1679901,536,131202,428.7647058823529,445.0,483,78.6498998743233,130986,0.6028567726116639,0.998124978869745,2897730.0,483174.0,6.017855511852354,0.6028567726116639,711.2222222222222,0.1834337080345035,0.9983536836328715,8694,7717.764705882353,1456.8819242397342,1.1264919742077102,17.432863,78.518256,Hyderabad,Active,2.747638211224604,2.7155028601256967,0.40188773762401664,0,0,Active Urban Shops
1881008,533,59742,195.23529411764707,194.0,284,24.01113531454809,59634,1.259582542694497,0.9982466215437872,1279854.0,0.0,0.0,1.259582542694497,155.0,0.12298562830591066,0.9981922265742693,5112,3514.235294117647,444.7734717544096,1.4546550165712564,18.664457,78.102064,Nizamabad,Active,-0.15039998110953706,2.5359830006325885,2.939750574010366,0,0,Active Urban Shops
1890026,533,196506,642.1764705882352,647.0,663,17.696574697579216,196110,1.0018353675323484,0.9979913321821643,4100652.0,0.0,0.0,1.0018353675323484,641.0,0.02755718327918354,0.9979847943574242,11934,11559.176470588236,327.80486483846556,1.0324264907941743,18.659009,78.111606,Nizamabad,Active,2.952373525046171,0.3204826279906376,0.8399306373426189,0,0,Active Urban Shops
1677781,536,341226,1115.1176470588234,1136.0,1411,149.94053208845875,340506,1.0424909913083547,0.9978674999960604,7567596.0,1297116.0,5.827399060141155,1.0424909913083547,1069.6666666666667,0.13446162607500126,0.9978899614917972,25398,20072.117647058825,2777.4434711248614,1.2653373424064989,17.448718,78.410497,Hyderabad,Active,9.450923848519611,1.3919504550127544,0.03297586167616502,3,0,High-Volume Urban Hubs
1581696,537,222804,728.1176470588235,738.0,816,51.59895045018138,222300,0.779106112411363,0.997753039450635,5015268.0,243306.0,12.216914507738425,0.779106112411363,934.5555555555555,0.0708662269876461,0.9977379221198901,14688,13106.117647058823,955.8000498504472,1.1206980126030053,17.48066,78.35073,Ranga Reddy,Active,4.526438329539591,0.9819708679018435,-0.00041490130928645985,0,0,Active Urban Shops
1784005,535,166032,542.5882352941177,548.0,567,23.314114323981304,165636,1.114579684333423,0.997608247570462,3471066.0,0.0,0.0,1.114579684333423,486.8333333333333,0.042968337327372305,0.9976149176062445,10206,9766.588235294117,431.86211034651,1.0449913269731137,18.065069,78.272243,Medak,Active,2.2281184588449916,0.5925493452017881,1.431856781076059,0,0,Active Urban Shops
1581314,537,101880,332.94117647058823,340.0,378,31.654950208612558,101628,0.5770211030686104,0.9977939488503517,2275056.0,15120.0,101.55258893976752,0.5770211030686104,577.0,0.09507670557357129,0.9975265017667845,6804,5992.941176470588,586.3646977978206,1.1353356890459363,17.45062,78.308877,Ranga Reddy,Active,1.1633449483224692,2.15349516721822,0.4707276416440887,0,-1,Active Urban Shops
2603031,923,76068,248.58823529411765,258.0,326,45.89060826260282,75834,0.9867040852754728,0.9970640502822702,1630818.0,11448.0,28.032826048585804,0.9867040852754728,252.88888888888889,0.18460490782400565,0.9969238050165641,5868,4474.588235294118,850.0608109735098,1.3114055844770467,16.237913,77.792114,Jogulamba Gadwal,Active,0.46138956429627087,2.9188226320572612,2.139162710308226,0,0,Active Urban Shops
3384188,930,113724,371.6470588235294,364.0,570,107.19588141025338,113364,0.5692834006553326,0.9968794583933397,2292012.0,207486.0,27.632530572021523,0.5692834006553326,652.8333333333334,0.2884346286758955,0.9968344412788858,10260,6689.64705882353,1985.6572256175184,1.533713200379867,17.51621,78.439835,Medchal,Active,2.4917454492164453,4.5551925355535055,0.9142957498511081,0,-1,Active Urban Shops
2357014,539,87732,286.70588235294116,293.0,365,42.64114573445196,87390,1.5830646740409104,0.9964195407288224,1796166.0,0.0,0.0,1.5830646740409104,181.11111111111111,0.14872783698926617,0.9961017644645055,6570,5160.705882352941,789.8689578583496,1.273081657775954,16.692683,78.921994,Nalgonda,Active,0.6875115086103972,1.896467475815034,3.5418245441336236,0,0,Active Urban Shops
1585187,537,324558,1060.6470588235295,1055.0,1248,115.5073467587909,323262,1.1271488404075765,0.9959797799803577,6877746.0,411174.0,17.812692026079674,1.1271488404075765,941.0,0.108902717259134,0.9960068770450891,22464,19091.647058823528,2139.6157640209744,1.1766402307137709,17.319367,78.563526,Ranga Reddy,Active,7.532634395364803,0.8256364829556914,0.48999482584837034,3,0,High-Volume Urban Hubs
4018042,937,131868,430.94117647058823,442.0,484,34.497276736257575,131328,0.8239803071401084,0.9959499780529216,2703114.0,0.0,0.0,0.8239803071401084,523.0,0.08005101071749642,0.9959049959049959,8712,7756.941176470588,639.0149128334403,1.1231231231231231,17.141266,79.613286,Suryapet,Active,1.618778337859867,1.5617197072579283,0.9592455323733892,0,0,Active Urban Shops
